,userId,movieId,rating
2,1,307,5
9,1,1250,4
10,1,1260,3.5
11,1,1653,4
30,1,5147,4
63,1,8873,3
64,1,8973,4
68,1,31956,3.5
73,2,150,4
75,2,236,4
95,2,733,4.5
96,2,858,3.5
106,2,1210,5
109,2,1270,4
124,2,1485,3
131,2,1653,4.5
133,2,1674,4
137,2,1873,4
138,2,1907,4
151,2,2273,2
156,2,2406,2.5
158,2,2496,4
171,2,2987,0.5
196,2,4571,1.5
202,2,4963,4
223,2,6879,5
245,2,31923,3.5
246,2,33166,0.5
261,3,214,5
276,3,780,3.5
277,3,858,5
290,3,1210,4
298,3,1270,3.5
304,3,1653,5
310,3,1909,4
312,3,2019,5
320,3,2858,5
327,3,3301,4
337,3,3646,2
339,3,3730,4
358,3,3986,3.5
377,3,4232,3.5
378,3,4234,3.5
383,3,4340,2
384,3,4343,3
385,3,4344,4
387,3,4367,3
391,3,4388,3
394,3,4571,3
407,3,4963,4
414,3,5013,4
415,3,5014,4
417,3,5218,4
422,3,5291,5
424,3,5313,2.5
429,3,5388,3.5
456,3,5959,4
467,3,6323,4
494,3,6879,4
502,3,7154,4
504,3,7293,3
507,3,7347,4
528,3,8798,3.5
553,3,31685,3
559,3,33166,4
573,3,37386,4
574,3,37727,3
591,3,45517,4
598,3,46970,3.5
599,3,46972,3
602,3,48385,3.5
605,3,48738,4
634,3,55805,4
636,3,56145,3
644,3,57528,3
648,3,58559,5
652,3,59615,3
653,3,59784,4
655,3,60040,3
658,3,60074,4
664,3,61160,4
668,3,62849,4
690,3,68952,2.5
694,3,69640,4
698,3,70305,3
713,3,73321,4
722,3,78499,4
729,3,80463,4
740,3,83613,3.5
756,3,87520,3
779,3,94864,4
782,3,95875,4
789,3,97306,4
798,3,102445,4
805,3,103228,3
850,3,115569,4
854,3,116823,3.5
881,3,136020,3.5
905,3,176371,4.5
915,4,780,2
925,4,1210,3
929,4,1270,2.5
937,4,1907,4
938,4,2019,4
948,4,3033,3
962,4,4963,4.5
969,4,5444,4
1000,4,45517,2.5
1002,4,46948,2.5
1003,4,46972,3.5
1018,4,58559,4.5
1019,4,59615,1.5
1042,4,79185,2.5
1049,4,83134,4.5
1050,4,83613,0.5
1057,4,87520,1
1070,4,94864,0.5
1082,4,102445,3
1083,4,103228,4
1107,4,115569,5
1110,4,116823,2
1120,4,136020,3
1139,4,176371,4.5
1143,4,182715,4.5
1150,4,203375,4.5
1160,5,95,3
1164,5,141,5
1165,5,147,5
1166,5,150,5
1198,5,435,2
1199,5,440,3
1205,5,500,4
1217,5,733,5
1220,5,780,4
1233,5,1097,3
1238,5,1210,5
1243,5,1270,3
1251,5,1407,5
1259,6,858,5
1265,6,1097,4
1266,6,1183,2
1273,6,1951,4
1277,6,2815,3
1278,6,2858,5
1281,7,28,4
1283,7,150,4
1292,7,307,4
1294,7,329,3
1321,8,95,4
1328,8,150,2
1330,8,163,4
1345,8,316,2
1356,8,440,4
1373,8,594,2
1380,8,733,4
1382,8,780,2
1383,8,785,4
1396,8,1029,3
1404,8,1129,2
1410,8,1210,3
1418,8,1259,4
1420,8,1270,4
1429,8,1407,5
1435,8,1485,5
1438,8,1573,5
1449,8,1653,2
1464,9,105,4
1466,9,150,4
1477,9,280,4
1479,9,329,5
1483,9,361,4
1485,9,366,3
1496,9,435,3
1501,9,464,4
1504,9,500,5
1511,9,585,3
1519,9,594,5
1528,9,858,3
1534,9,938,4
1557,9,1029,3
1558,9,1030,4
1568,9,1097,4
1573,9,1126,4
1575,9,1129,4
1584,9,1210,5
1592,9,1247,4
1593,9,1250,5
1595,9,1259,4
1598,9,1266,1
1599,9,1270,4
1603,9,1298,4
1622,9,1372,5
1641,10,150,4
1642,10,193,1
1655,10,780,3
1659,10,1210,5
1675,10,3868,4
1676,10,3986,4
1697,11,2581,3
1699,11,2858,2.5
1711,11,42723,3.5
1712,11,48043,4
1740,12,101,4
1742,12,141,4
1744,12,150,2
1745,12,160,2
1746,12,163,4
1753,12,203,2.5
1760,12,236,3.5
1775,12,316,3
1779,12,329,3
1797,12,435,2.5
1798,12,440,4
1810,12,500,4
1826,12,546,1
1831,12,585,0.5
1836,12,594,3.5
1841,12,627,4.5
1843,12,663,4
1846,12,724,2
1851,12,765,2
1853,12,780,4
1860,12,858,4
1893,12,1097,5
1896,12,1126,1.5
1902,12,1183,3.5
1910,12,1210,4
1931,12,1259,5
1936,12,1270,4
1938,12,1285,4
1943,12,1339,4
1959,12,1407,3
1969,12,1485,1
1978,12,1526,1.5
1993,12,1654,2.5
1995,12,1673,4
2006,12,1816,3.5
2012,12,1884,3.5
2015,12,1917,2
2018,12,1951,3
2050,12,2137,4
2054,12,2174,4.5
2060,12,2253,3
2067,12,2321,3
2082,12,2406,4
2091,12,2447,2
2104,12,2599,3.5
2124,12,2794,4
2128,12,2804,3
2129,12,2815,1
2131,12,2858,4
2137,12,2901,1
2141,12,2927,4
2145,12,2950,1
2150,12,2987,4
2153,12,3033,4
2160,12,3087,4
2189,12,3392,1
2203,12,3499,3
2206,12,3538,4
2221,12,3783,4
2225,12,3823,3
2230,12,3877,1
2272,12,4571,4
2285,12,5008,4
2286,12,5013,4
2292,12,5339,3.5
2302,12,5525,3.5
2303,12,5541,3.5
2308,12,5693,4
2317,12,6027,3.5
2335,12,6867,4
2340,12,7352,4
2352,12,8532,4
2358,12,8873,3.5
2410,12,48738,4.5
2415,12,51694,4
2421,12,55442,4.5
2460,13,141,4.5
2461,13,150,4.5
2494,13,780,3
2501,13,1097,4
2509,13,1210,4.5
2513,13,1266,4.5
2514,13,1270,4.5
2525,13,1562,0.5
2529,13,1653,4
2563,13,2858,4
2568,13,3033,4
2577,13,3354,3.5
2580,13,3508,4.5
2593,13,3972,4.5
2595,13,3986,2
2605,13,4343,3.5
2606,13,4370,3
2615,13,4963,4
2625,13,5444,3.5
2633,13,5881,3.5
2693,13,27904,3.5
2695,13,31660,3.5
2697,13,32031,3.5
2717,13,42718,3.5
2728,13,48043,3.5
2742,13,52973,4
2761,13,56145,4.5
2767,13,58559,5
2770,13,59295,0.5
2773,13,59615,4
2774,13,59784,3.5
2776,13,60040,3.5
2782,13,61160,2.5
2792,13,66171,1.5
2802,13,68952,1.5
2822,13,73321,3.5
2837,13,78499,3.5
2843,13,79185,3.5
2845,13,80939,3.5
2861,13,89840,3
2871,14,2858,5
2894,15,141,5
2909,15,1183,5
2936,15,2406,3
2949,15,2815,2
2950,15,2858,5
2953,15,2987,3
2964,16,858,5
2973,16,2858,5
2995,17,59784,5
3001,17,78499,2.5
3005,17,95167,3
