id,mean_rating,number_of_ratings,title,movieId,War,Fantasy,Adventure,Horror,Documentary,Mystery,Drama,Children,Romance,IMAX,Comedy,Western,Animation,No_genre,Crime,Musical,Thriller,Sci_Fi,Action,Film_Noir,backdrop_path,poster_path,tmdb_title,tagline,overview,budget,runtime,original_language
0,4.031706713,4037,Persuasion (1995),28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,/9Qs9oyn4iE8QtQjGZ0Hp2WyYNXT.jpg,-1,-1,-1,-1,-1,-1,-1
1,3.683937824,193,Lamerica (1994),53,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/9Qs9oyn4iE8QtQjGZ0Hp2WyYNXT.jpg,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,Apocalypse Now,This is the end...,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",31500000,147,en
2,2.354105139,1693,Fair Game (1995),71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1
3,3.583684951,711,Once Upon a Time... When We Were Colored (1995),83,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,/9B4198IzCI0POkUIVu5yQ2s7Pzr.jpg,/nOr5diUZxphmAD3li9aiILyI28F.jpg,Billy Elliot,Inside every one of us is a special talent waiting to come out. The trick is finding it.,County Durham England 1984 the miners strike has started and the police have started coming up from Bethnal Green starting a class war with the lower classes suffering caught in the middle of the conflict is 11-year old Billy Elliot who after leaving his boxing club for the day stubbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs Wilkinson for an upcoming audition in Newcastle-upon Tyne the audition is for the royal Ballet school in London.,5000000,110,en
4,3.069736563,28242,Broken Arrow (1996),95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,/58BUQzjN6TH0bLe6JEfgMbHc55u.jpg,/pjLh97W1J8AdcuKWzqqdKHfYmp5.jpg,Open Water,Scream all you want.,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",130000,79,en
5,3.775593164,6027,Bottle Rocket (1996),101,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,/sODk4VuMTt8S56zYFOr1Kx8BFqu.jpg,/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,Armageddon,The Earth's Darkest Day Will Be Man's Finest Hour,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",140000000,151,en
6,2.412206002,2466,Mr. Wrong (1996),102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,/jRJrQ72VLyEnVsvwfep8Xjlvu8c.jpg,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,Léon: The Professional,"If you want a job done well, hire a professional.","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",16000000,111,en
7,3.336849793,12323,"Bridges of Madison County, The (1995)",105,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,/1pRNzOM7OQA29cVayaCheBI4vn7.jpg,/hOrV2fCw2kmSiS4ZMGFPfXqr3lt.jpg,Open Hearts,,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.",0,113,da
8,3.631329114,316,Margaret's Museum (1995),114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,Back to the Future,He's the only kid ever to get into trouble before he was born.,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",19000000,116,en
9,3.530413625,411,"Star Maker, The (Uomo delle stelle, L') (1995)",124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/3tuWpnCTe14zZZPt6sI1W9ByOXx.jpg,/hVHUfT801LQATGd26VPzhorIYza.jpg,Pretty Woman,"She walked off the street, into his life and stole his heart.","When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",14000000,119,en
